0	298.5854
25	279.4607
50	275.1773
75	274.0636
100	276.6281
125	270.8621
150	271.2564
175	265.4034
200	264.1837
225	266.4987
250	264.1961
275	266.4522
300	265.5315
325	261.5803
350	257.1155
375	261.2466
400	263.6101
425	257.0414
450	259.4331
475	257.4788
500	252.9603
525	257.3900
550	257.5956
575	256.7231
600	250.4027
625	252.3340
650	251.0395
675	252.4826
700	251.9020
725	250.7912
750	248.1229
775	249.4793
800	250.8929
825	248.3474
850	244.4570
875	248.3553
900	243.3897
925	239.7126
950	241.7570
975	242.6117
1000	242.2062
1025	243.1038
1050	240.7870
1075	239.2440
1100	238.5552
1125	238.9083
1150	240.5240
1175	242.4730
1200	235.6968
1225	237.8294
1250	237.9140
1275	237.0745
1300	236.7510
1325	233.8883
1350	232.8207
1375	233.7678
1400	232.8362
1425	233.2704
1450	234.7569
1475	236.7782
1500	231.7488
1525	233.3772
1550	232.8370
1575	232.4424
1600	231.6934
1625	230.0448
1650	229.7211
1675	228.5864
1700	228.0508
1725	229.3151
1750	226.5567
1775	229.9479
1800	228.8397
1825	229.3039
1850	226.9774
1875	226.8901
1900	226.2084
1925	222.0125
1950	221.8863
1975	221.6575
2000	224.6381
2025	226.1262
2050	223.6831
2075	224.2831
2100	223.7119
2125	223.2493
2150	224.1108
2175	223.8176
2200	221.0883
2225	220.4965
2250	223.9617
2275	222.4375
2300	220.2053
2325	221.8144
2350	221.6096
2375	223.6066
2400	217.1183
2425	222.1320
2450	219.9366
2475	219.5544
2500	215.7624
2525	220.7459
2550	219.4737
2575	218.6232
2600	217.9919
2625	217.1455
2650	215.8792
2675	219.1740
2700	216.4303
2725	216.7225
2750	216.9258
2775	216.9096
2800	216.3459
2825	215.5869
2850	216.1388
2875	216.6692
2900	217.3996
2925	214.8559
2950	218.1700
2975	212.9479
3000	218.0341
3025	216.3338
3050	214.6480
3075	213.3398
3100	215.2775
3125	213.3322
3150	215.2726
3175	212.8048
3200	213.1632
3225	212.4115
3250	216.0423
3275	209.2113
3300	214.8952
3325	214.1768
3350	212.2837
3375	213.3826
3400	212.8330
3425	209.6466
3450	210.1631
3475	212.1948
3500	211.3226
3525	209.5533
3550	209.1245
3575	211.1786
3600	210.6722
3625	210.0089
3650	212.5426
3675	208.9899
3700	206.4347
3725	208.6624
3750	209.0929
3775	209.8635
3800	209.5535
3825	210.2517
3850	207.3290
3875	208.6233
3900	206.9880
3925	206.8100
3950	208.2348
3975	208.4309
4000	208.3242
4025	206.9975
4050	209.5558
4075	209.5641
4100	209.5334
4125	208.6717
4150	209.3444
4175	207.5615
4200	207.9567
4225	205.9358
4250	205.4183
4275	205.9428
4300	207.7541
4325	204.3918
4350	204.9791
4375	207.0538
4400	205.8919
4425	206.0934
4450	207.9691
4475	206.0065
4500	207.5578
4525	206.0241
4550	204.4492
4575	204.9723
4600	209.6538
4625	207.1103
4650	206.7329
4675	204.5754
4700	204.2329
4725	206.8804
4750	203.6458
4775	207.1601
4800	204.2368
4825	205.4140
4850	206.1436
4875	205.0842
4900	205.6441
4925	205.4328
4950	207.3853
4975	203.9759
5000	203.8651
